"","pes21_occ_text"
"839","Project Manager"
"840","student"
"841",""
"842","Disabled"
"843","Office administration"
"844","businessman"
"845",""
"846","Public sector"
"847","Advisor"
"848","consultant"
"849","Assembleuse"
"850","-99"
"851","Engineer"
"852",""
"853","Commis comptable"
"854","Planner"
"855","commis bibliothèque"
"856","Retired"
"857","-99"
"858","IT manager"
"859",""
"860","Accountant"
"861","health care worker"
"862",""
"863","Administration"
"864",""
"865","Sales consultant"
"866","Poli ier"
"867",""
"868",""
"869","-99"
"870",""
"871","Student"
"872",""
"873","-99"
"874","Database Administrator"
"875","Professional artist"
"876","Homemaker"
"877","retraité"
"878","Teacher"
"879","temps plein"
"880","Piano teacher"
"881","Médecin"
"882","-99"
"883","electrician"
"884","childcare"
"885","Business IT Consultant"
"886","Secretary"
"887",""
"888","education assistant"
"889","lawyer"
"890","-99"
"891","Chemist"
"892",""
"893","Scheduler"
"894",""
"895","Travailleur"
"896","Sales"
"897",""
"898",""
"899","Survey taker"
"900","Manager in Public Service"
"901","Accounting Clerk"
"902",""
"903","-99"
"904","Postal Worker"
"905","Technical writer"
"906","Accountant"
"907","Financial planner"
"908",""
"909","retraité"
"910","Étudiant"
"911","Chief Digital Officer"
"912","Cuisinier"
"913","-99"
"914","school bus driver"
"915",""
"916","Social worker"
"917","Research Coordinator"
"918","House wife"
"919","Procurement Manager"
"920",""
"921","lawyer"
"922","Services Administrator"
"923","Business man."
"924",""
"925",""
"926","Accountant"
"927","former restaurant manager"
"928",""
"929",""
"930",""
"931","Legal Assistant"
"932",""
"933","Healthcare military"
"934","Clerk"
"935","SALES"
"936",""
"937",""
"938",""
"939","Superviseur"
"940",""
"941","Serveuse"
"942","Supervisor"
"943",""
"944","-99"
"945",""
"946","Coordinateur"
"947",""
"948",""
"949","Chomage"
"950",""
"951","Finance"
"952","Secrétaire"
"953","Social Worker"
"954","Secrétaire de direction"
"955","admin assistant"
"956","Community Mental health worker"
"957",""
"958","-99"
"959","DIRECTEUR"
"960","Administrateur"
"961","Customer Service"
"962","Enseignant"
"963","Teacher"
"964","VP Retail Operation"
"965",""
"966",""
"967",""
"968","Refinery worker"
"969","-99"
"970",""
"971",""
"972","Draftsperson"
"973","medical laboratory technologist"
"974",""
"975","Audio Visual manager"
"976","Residential counselor"
"977","Retired"
"978","-99"
"979","-99"
"980","Self employed"
"981","Teacher"
"982",""
"983","writer"
"984","Consultant"
"985","informaticien"
"986","Maintenance Manager"
"987","Writer"
"988","-99"
"989","Oil & Gas"
"990","mlt"
"991","Computer programmer"
"992",""
"993","Flight attendant"
"994","Sales"
"995","Information Technology"
"996","Sales"
"997","étudiante"
"998","Retail manager"
"999","Éducatrice"
"1000","Training"
"1001",""
"1002","social media advisor"
"1003","business owner"
"1004",""
"1005","adjointe"
"1006","technicien professionnel"
"1007","-99"
"1008","Bookkeeper"
"1009","économiste"
"1010","self employed"
"1011","Étudiante"
"1012",""
"1013","SALES"
"1014","Deli Clerk"
"1015","Policier"
"1016",""
"1017","courtier"
"1018","-99"
"1019",""
"1020","MANAGER"
"1021",""
"1022","IT Manager"
"1023",""
"1024",""
"1025","Technician"
"1026","Col bleu"
"1027","-99"
"1028","Machinist"
"1029","Student"
"1030","Logistics"
"1031","Student"
"1032","plomberie chauffage"
"1033",""
"1034","IT"
"1035",""
"1036",""
"1037","Sales"
"1038","-99"
"1039",""
"1040","-99"
"1041",""
"1042",""
"1043",""
"1044","Health care worker"
"1045",""
"1046","Bus Driver"
"1047","Registered nurse"
