Code,Occupation_Name,Nom_de_la_profession,Recent_Labour_Market_Conditions
72320,Bricklayers,Briqueteurs-maçons/briqueteuses-maçonnes,Moderate signs of Shortage
72321,Insulators,Calorifugeurs/calorifugeuses,Balance
72400,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles,Moderate signs of Shortage
72401,Heavy-duty equipment mechanics,Mécaniciens/mécaniciennes d'équipement lourd,Strong signs of Shortage
72402,"Heating, refrigeration and air conditioning mechanics","Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation",Strong signs of Shortage
72403,Railway carmen/women,Réparateurs/réparatrices de wagons,Balance
72404,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs,Moderate signs of Shortage
72405,Machine fitters,Ajusteurs/ajusteuses de machines,N/A
72406,Elevator constructors and mechanics,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs,Balance
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus",Moderate signs of Shortage
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators","Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages",Moderate signs of Shortage
72420,Oil and solid fuel heating mechanics,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides,Balance
72421,Appliance servicers and repairers,Réparateurs/réparatrices et préposés/préposées à l'entretien d'appareils,Balance
72422,Electrical mechanics,Électromécaniciens/électromécaniciennes,Strong signs of Shortage
72423,"Motorcycle, all-terrain vehicle and other related mechanics","Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",Balance
72429,Other small engine and small equipment repairers,Autres réparateurs/réparatrices de petits moteurs et de petits équipements,Balance
72500,Crane operators,Grutiers/grutières,Balance
72501,Water well drillers,Foreurs/foreuses de puits d'eau,Balance
72600,"Air pilots, flight engineers and flying instructors","Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien",Moderate signs of Shortage
72601,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé,Balance
72602,"Deck officers, water transport",Officiers/officières de pont du transport par voies navigables,Balance
72603,"Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables,Balance
72604,Railway traffic controllers and marine traffic regulators,Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime,N/A
72999,Other technical trades and related occupations,Autres métiers techniques et personnel assimilé,Moderate signs of Shortage
73100,Concrete finishers,Finisseurs/finisseuses de béton,Moderate signs of Shortage
73101,Tilesetters,Carreleurs/carreleuses,Balance
73102,"Plasterers, drywall installers and finishers and lathers","Plâtriers/plâtrières, poseurs/poseuses et finisseurs/finisseuses de systèmes intérieurs et latteurs/latteuses",Balance
73110,Roofers and shinglers,Couvreurs/couvreuses et poseurs/poseuses de bardeaux,Moderate signs of Shortage
73111,Glaziers,Vitriers/vitrières,Balance
73112,Painters and decorators (except interior decorators),Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur),Moderate signs of Shortage
73113,Floor covering installers,Poseurs/poseuses de revêtements d'intérieur,Moderate signs of Shortage
73200,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",Balance
73201,General building maintenance workers and building superintendents,Préposés à l’entretien général et surintendants/surintendantes,Balance
73202,Pest controllers and fumigators,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine,Balance
73209,Other repairers and servicers,Autres réparateurs/réparatrices et préposés/préposées à l'entretien,Balance
73300,Transport truck drivers,Conducteurs/conductrices de camions de transport,Moderate signs of Shortage
73301,"Bus drivers, subway operators and other transit operators",Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en commun,Moderate signs of Shortage
73310,Railway and yard locomotive engineers,Mécaniciens/mécaniciennes de locomotive et de cour de triage,Balance
73311,Railway conductors and brakemen/women,Chefs de train et serre-freins,Balance
73400,Heavy equipment operators,Conducteurs/conductrices d'équipement lourd,Balance
73401,Printing press operators,Opérateurs/opératrices de presses à imprimer,Balance
73402,"Drillers and blasters - surface mining, quarrying and construction","Foreurs/foreuses et dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",Balance
74100,Mail and parcel sorters and related occupations,Trieurs/trieuses de courrier et de colis et professions connexes,Balance
74101,Letter carriers,Facteurs/factrices,Balance
74102,Couriers and messengers,Messagers/messagères,Balance
74200,Railway yard and track maintenance workers,Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée,Balance
74201,Water transport deck and engine room crew,Matelots de pont et matelots de salle des machines du transport par voies navigables,Balance
74202,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien,Balance
74203,Automotive and heavy truck and equipment parts installers and servicers,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds,Balance
74204,Utility maintenance workers,Personnel d'entretien des services publics,Balance
74205,Public works maintenance equipment operators and related workers,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé,Balance
75100,Longshore workers,Débardeurs/débardeuses,Strong signs of Surplus
75101,Material handlers,Manutentionnaires,Balance
75110,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction,Moderate signs of Shortage
75119,Other trades helpers and labourers,Autres manoeuvres et aides de soutien de métiers,Balance
75200,Taxi and limousine drivers and chauffeurs,"Chauffeurs/chauffeuses de taxi, chauffeurs/chauffeuses de limousine et chauffeurs/chauffeuses",Balance
75201,Delivery service drivers and door-to-door distributors,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte,Balance
75210,Boat and cable ferry operators and related occupations,"Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé",Balance
75211,Railway and motor transport labourers,Manoeuvres dans le transport ferroviaire et routier,Balance
75212,Public works and maintenance labourers,Manoeuvres à l'entretien des travaux publics,Balance
80010,Managers in natural resources production and fishing,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche,Balance
80020,Managers in agriculture,Gestionnaires en agriculture,Balance
80021,Managers in horticulture,Gestionnaires en horticulture,Balance
80022,Managers in aquaculture,Gestionnaires en aquaculture,N/A
82010,"Supervisors, logging and forestry",Surveillants/surveillantes de l'exploitation forestière,Balance
82020,"Supervisors, mining and quarrying",Surveillants/surveillantes de l'exploitation des mines et des carrières,Balance
82021,"Contractors and supervisors, oil and gas drilling and services",Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,Moderate signs of Shortage
82030,Agricultural service contractors and farm supervisors,Entrepreneurs/entrepreneuses de services agricoles et surveillants/surveillantes d'exploitations agricoles,Balance
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",Balance
83100,Underground production and development miners,"Mineurs/mineuses d'extraction et de préparation, mines souterraines",Balance
83101,"Oil and gas well drillers, servicers, testers and related workers",Foreurs/foreuses et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz,Moderate signs of Shortage
83110,Logging machinery operators,Conducteurs/conductrices de machines d'abattage d'arbres,Balance
83120,Fishing masters and officers,Capitaines et officiers/officières de bâtiments de pêche,N/A
