"","x"
"902","it consultant"
"903","consultant, retired from federal government."
"904","ceo of a library"
"905","accounting"
"906","clerical assistant"
"907","student, youth care worker"
"908","unit clerk in a hospital"
"909","client service administration."
"910","911"
"911","director ngo"
"912","school receptionist"
"913","laser operator"
"914","salesperson"
"915","director of operations"
"916","disability"
"917","screening officer"
"918","plumber pipe fitter"
"919","gas station supervisor"
"920","rcmp"
"921","personal support worker"
"922","teacher (private)"
"923","inventory analyst"
"924","executive assistant to cao"
"925","dental therapist"
"926","project coordinator"
"927","plane operator"
"928","coach"
"929","construction worker - residential"
"930","financial analyst / accountant"
"931","software"
"932","administrative officer"
"933","oil field worker"
"934","barber"
"935","organic farmer"
"936","weldering or trades"
"937","technicien en mecanique de batiment"
"938","entrepreneur en construction"
"939","travailleur autonome : comptable-fiscaliste"
"940","commis d'entrepot"
"941","courtier immobilier"
"942","auxiliaire familiale"
"943","opticienne"
"944","camionneur courte distance, locale"
"945","gestionnaire aéronautique"
"946","élagueur"
"947","programmeur machine outils"
"948","travail de bureau"
"949","criminal investigator"
"950","conseiller en voyage"
"951","technicienne en administration réseau de la santé"
"952","electrical contractor"
"953","administration éducation"
"954","manager at air canada"
"955","conseiller en santé et sécurité du travail"
"956","applicateur cimentier"
"957","layout"
"958","coordonnatrice administration"
"959","enseignante au collégial"
"960","aircraft mechanic"
"961","agriculteur"
"962","représentante pour une compagnie d,assurance"
"963","agente administrative classe ii"
"964","entrepreneur"
"965","advocat"
"966","human resources business partner"
"967","enseignant secondaire"
"968","infirmière en psychiatrie"
"969","chef d'entreprise, dans la traduction ou correction d'épreuves"
"970","surintendant"
"971","col bleu"
"972","technicien service en soin de snté"
"973","travailleur autonome et aussi avec les enfants"
"974","propriétaire d'entreprise"
"975","conseillère en acquisition de talent"
"976","chef d'entreprise d'investissement immobilier"
"977","directrice d'un département"
"978","négociateur sur les marchés financiers"
"979","ingénieur aérospatial"
"980","fonction publique"
"981","magasignier/ventes internes"
"982","technicien en mécanique"
"983","mecanien industriel construction"
"984","preposé d'entretien"
"985","banquière"
"986","homme de cour"
"987","infirmière auxiliaire"
"988","publicitaire"
"989","représentant"
"990","inspecteur en environnement pour le ministère de l'environnement et de la lutte aux changements climatiques du québec."
"991","peintre"
"992","cadre dans la fonction publique fédérale, directeur adjoint"
"993","administration. réseau de la santé"
"994","représentant d'agence"
"995","suppléante enseignement primaire"
"996","employé municipal"
"997","directrice des opérations accessoires auto"
"998","mecanicien automobile"
"999","travailleuse autonome"
"1000","palfrenier"
"1001","environmental and geo non profit"
"1002","travailleur autonome dans le domaine événementiel"
"1003","éducatrice ã  l'enfance"
"1004","dans le domaine de ladministration et medias sociaux"
"1005","verificatrice"
"1006","commis de bureau"
"1007","mecanicien,"
"1008","travailleur autonome"
"1009","formateur et leader en assurance qualité"
"1010","conseiller financier"
"1011","senior manager, marketing communications"
"1012","représentante service client"
"1013","employé du gouvernement provincial"
"1014","comptable agrée"
"1015","ingénieur"
"1016","analyste, recherchiste"
"1017","frigoriste"
"1018","biologiste"
"1019","technicien en génie civile"
"1020","prepose hygiene salubrite hopital"
"1021","préposée aux bénéficiaires"
"1022","lobeiste"
"1023","programmeur analyste en géomatique"
"1024","i work at the gas station"
"1025","logger"
"1026","work in health care"
"1027","rancher"
"1028","nurse practionner"
"1029","lawyer mediator"
"1030","construction labor"
"1031","legal translator"
"1032","self employed - management and small business owner"
"1033","stay at home mom/rancher"
"1034","funeral director"
"1035","work in the oil industry"
"1036","materials handler"
"1037","farming forage"
"1038","commercial fisherman"
"1039","casual teacher"
"1040","wild fire"
"1041","retired but currently working full time in customer service, home improvement and telecommunications"
"1042","retired/consulting"
"1043","mortgage broker"
"1044","regional manager"
"1045","hr manager"
"1046","reciver"
"1047","power lineman"
"1048","career counsellor"
"1049","frontline worker, educator"
"1050","real estate sales"
"1051","selfemploed"
"1052","government clerk"
"1053","real estate development"
"1054","hr"
"1055","machine operator"
"1056","car-manufacturer (labourer)"
"1057","aquaculturalist"
"1058","environnement"
"1059","operateur de machine fixe, decoupage au laser"
"1060","conseillère d'orientation et aide pédagogique individuelle"
"1061","camionneur"
"1062","gestionnaires dans un cabinet d'assurance"
"1063","chimiste"
"1064","brigadière scolaire"
"1065","vendeuse"
"1066","operateur dèextrudeuse"
"1067","part time office worker"
"1068","surintendant aux opérations"
"1069","technicienne en organisation scolaire"
"1070","physique"
"1071","product manager"
"1072","retial"
"1073","cca activity director"
"1074","library assistant"
"1075","health care provider"
"1076","administrative manager for a university"
"1077","underground miner"
"1078","sales engineer"
"1079","counselor"
"1080","college instructor"
"1081","student (university undergraduate)"
"1082","laboratory assitant"
"1083","foreman"
"1084","health and safety"
"1085","faculty developer"
"1086","student teacher"
"1087","financial planning"
"1088","clinical counselor"
"1089","refrigeration worker"
"1090","municipal govnt worker"
"1091","retail clerk"
"1092","real estate"
"1093","display carpenter"
"1094","mill worker"
"1095","social work/counsellor"
"1096","business development. sales business"
"1097","opérateur"
"1098","éducatrice en service de garde"
"1099","technicien en traitement des eaux"
"1100","contremaître de production"
